graph,order,size,batch_size,components,blockgraph-levels,affected-vertices,affected-components,time,iterations,error,technique
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","694.722","0","0","pagerankNvgraph (static)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","10.721","0","1.1524e-7","pagerankNvgraph (incremental)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","4717.843","47","0.000033762","pagerankMonolithicOmpSplit (static)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","203.8","2","0.0000071664","pagerankMonolithicOmpSplit (incremental)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","373.828","4","0.000011638","pagerankMonolithicOmpSplit (dynamic)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","339.086","38","0.000080887","pagerankMonolithicCudaSplit (static)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","9.588","1","1.2501e-7","pagerankMonolithicCudaSplit (incremental)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","9.595","1","1.2522e-7","pagerankMonolithicCudaSplit (dynamic)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","5266.838","42","0.0021738","pagerankLevelwiseOmp (static)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","134.237","1","0.0000015927","pagerankLevelwiseOmp (incremental)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","132.624","0","0.0000015862","pagerankLevelwiseOmp (dynamic)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","466.973","36","0.0033392","pagerankLevelwiseCuda (static)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","22.589","1","1.4671e-7","pagerankLevelwiseCuda (incremental)"
"arabic-2005","22744080","643300544","1","4000414","286","22359925","3934938","19.127","0","1.464e-7","pagerankLevelwiseCuda (dynamic)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","696.664","0","0","pagerankNvgraph (static)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","19.924","0","2.1443e-7","pagerankNvgraph (incremental)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","5923.212","47","0.000033717","pagerankMonolithicOmpSplit (static)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","270.516","2","0.0000072148","pagerankMonolithicOmpSplit (incremental)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","365","3","0.0000096205","pagerankMonolithicOmpSplit (dynamic)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","334.504","38","0.000080895","pagerankMonolithicCudaSplit (static)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","9.11","1","2.2602e-7","pagerankMonolithicCudaSplit (incremental)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","9.161","1","2.2615e-7","pagerankMonolithicCudaSplit (dynamic)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","5976.388","42","0.0022657","pagerankLevelwiseOmp (static)"
"arabic-2005","22744080","643300544","1","4000413","286","22359925","3934937","145.147","1","0.0000016964","pagerankLevelwiseOmp (incremental)"
