graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","1","5","7.6","1.5056","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","1","5","7.6","1.3679999999999999","0","1.527364e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","1","5","7.6","0.24379999999999996","13","9.611219999999999e-8","pagerankMonolithic [static]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","1","5","7.6","0.21740000000000004","11.6","3.434732e-7","pagerankMonolithic [dynamic]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","1","5","7.6","0.24699999999999997","13","9.611219999999999e-8","pagerankLevelwise [static]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","1","5","7.6","0.21600000000000003","8.8","3.792352e-7","pagerankLevelwise [dynamic]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","5","5.8","11","1.7317999999999998","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","5","5.8","11","2.7858","0","0.000001318744","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","5","5.8","11","0.2822","15.2","1.63912e-7","pagerankMonolithic [static]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","5","5.8","11","0.46799999999999997","25.2","0.0000012181779999999999","pagerankMonolithic [dynamic]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","5","5.8","11","0.288","15.2","1.63912e-7","pagerankLevelwise [static]"
"min-1DeadEnd","5","6","0.104","4","0","pagerankMonolithic","5","5.8","11","0.47859999999999997","22.8","0.0000010691580000000002","pagerankLevelwise [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","1","8","12.8","2.9302","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","1","8","12.8","2.0553999999999997","0","4.9024852e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","1","8","12.8","0.7508","32.4","4.876412e-7","pagerankMonolithic [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","1","8","12.8","0.529","22.8","5.848680000000001e-7","pagerankMonolithic [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","1","8","12.8","0.7574000000000001","32.4","4.876412e-7","pagerankLevelwise [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","1","8","12.8","0.5446","18","6.05732e-7","pagerankLevelwise [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","5","8.6","16","2.8768000000000002","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","5","8.6","16","3.2486000000000006","0","0.0000010326486","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","5","8.6","16","0.7474","33","3.539014e-7","pagerankMonolithic [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","5","8.6","16","0.8518000000000001","37.4","0.0000014550908","pagerankMonolithic [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","5","8.6","16","0.7587999999999999","33","3.539014e-7","pagerankLevelwise [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","5","8.6","16","0.8576","37.4","0.0000014550908","pagerankLevelwise [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","10","8.8","19.6","2.8310000000000004","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","10","8.8","19.6","2.803","0","2.186736e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","10","8.8","19.6","0.7445999999999999","32.8","1.6801079999999997e-7","pagerankMonolithic [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","10","8.8","19.6","0.7312","32.2","4.13508e-7","pagerankMonolithic [dynamic]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","10","8.8","19.6","0.752","32.8","1.6801079999999997e-7","pagerankLevelwise [static]"
"min-2SCC","8","12","0.938","40","0","pagerankMonolithic","10","8.8","19.6","0.7373999999999999","32.2","4.13508e-7","pagerankLevelwise [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","1","21","36","3.9839999999999995","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","1","21","36","3.8102000000000005","0","0.000001969944","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","1","21","36","1.0278","45.4","6.72414e-7","pagerankMonolithic [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","1","21","36","0.9822","43.2","0.000002335742","pagerankMonolithic [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","1","21","36","1.0326","45.4","6.72414e-7","pagerankLevelwise [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","1","21","36","1.0037999999999998","34","0.000002511948","pagerankLevelwise [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","3.9748000000000006","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","3.7264000000000004","0","5.83568e-7","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","1.0268000000000002","45.2","7.339760000000001e-7","pagerankMonolithic [static]"
"min-4SCC","21","35","1.002","45","0","pagerankMonolithic","5","22.6","40.2","0.9751999999999998","43","8.0624e-7","pagerankMonolithic [dynamic]"
