graph,1-t,500-t,1000-t,5000-t,10000-t,500-s,1000-s,5000-s,10000-s
arabic-2005,87.0298,198.0922,213.2228,305.0004,382.5328,219.6699315,408.1636673,1426.716162,2275.093796
uk-2005,435.3658,494.7556,553.861,717.7804,685.6674,439.9806692,786.0560682,3032.722822,6349.518732
it-2004,668.4094,706.9292,755.7568,700.9444,1144.4554,472.7555461,884.4239311,4767.920252,5840.414576
soc-Epinions1,0.3608,2.6896,2.9856,4.0632,5.027,67.07317073,120.846731,443.9850364,717.7242888
soc-LiveJournal1,48.7684,160.4836,269.4084,271.2466,275.7428,151.9420053,181.0203394,898.9679502,1768.619162
wiki-Talk,1.2542,8.1046,11.103,20.8906,25.688,77.37581127,112.9604611,300.1828574,488.2435378
cit-Patents,0.1244,2.686,3.5948,7.1252,11.519,23.15711095,34.60554134,87.29579521,107.9954857
coPapersDBLP,6.4342,15.673,15.3534,40.075,25.193,205.2638295,419.0732997,802.7698066,2553.963403
amazon-2008,1.6186,6.4006,6.7388,8.262,8.5378,126.4412711,240.191132,979.5449044,1895.80454
italy_osm,6.8056,6.7516,7.6054,13.6752,89.3904,503.9990521,894.8378783,2488.299988,761.3345505
Linux_call_graph,1.0874,2.2134,4.0812,6.9444,8.4726,245.6401916,266.4412428,782.9330108,1283.431296
