graph,1-t,500-t,1000-t,5000-t,10000-t,500-s,1000-s,5000-s,10000-s
arabic-2005,6.7404,11.4594,9.6058,23.8764,32.0064,294.0991675,701.7010556,1411.519325,2105.953809
uk-2005,17.3012,30.522,34.867,51.3384,64.7748,283.4217941,496.2055812,1685.015505,2670.976985
it-2004,19.719,25.3428,20.1376,46.4136,80.3944,389.0454093,979.2130145,2124.269611,2452.782781
soc-Epinions1,0.046,0.6028,0.5192,0.7258,0.7214,38.15527538,88.59784284,316.8917057,637.6490158
soc-LiveJournal1,2.2464,5.6142,10.0654,10.7916,21.052,200.0641231,223.1804002,1040.809519,1067.072012
wiki-Talk,0.0554,0.156,0.132,0.2098,0.295,177.5641026,419.6969697,1320.305052,1877.966102
cit-Patents,0.011,0.6984,0.9456,1.5732,1.974,7.875143184,11.63282572,34.96058988,55.72441743
coPapersDBLP,0.7316,0.7348,0.7298,0.7194,0.7308,497.8225367,1002.466429,5084.792883,10010.94691
amazon-2008,0.0816,0.4034,0.3222,0.4212,0.4478,101.1403074,253.2588454,968.6609687,1822.242072
italy_osm,0.1974,0.2008,0.2,0.203,0.2058,491.5338645,987,4862.068966,9591.836735
Linux_call_graph,0.0588,0.3346,0.6172,1.3974,1.5146,87.86610879,95.26895658,210.3907256,388.2213126
